Question,Answer
"Is there a ""Self"" the ""I"" the self identity-consciousness etc before birth?","I agree with Rodney Tavares's answer.
Yes, there is “Self” before birth (and after death also ) that is part of cosmic consciousness which gets incarnated in physical form.
That which is called Atman (universal self) in Hinduism, identical with the eternal core (cosmic consciousness) of the personality that after death either transmigrates to a new life or attains release (moksha) from the bonds of existence.
The soul (Atman) is our true-self. Which is eternal and on self-realisation we realise our soul (universal self) only.
"
"Why, all of a sudden, are people saying that Swami Jaideep is not awakened/ enlightened? What does he have to say to them?","Throwing stones and hiding hands is common when an awakened person will challenge their belief system.
If you browse their ‘activity' you will know either they are hardcore religious or affiliated to some organisation and full of jealousy, hatred, frustration and resentment.
Just browse their ‘Activity' tab.
When the truth comes out awakened one has to take stones and abuses.
Socrates was poisoned.
Jesus was crucified.
Buddha was thrown stones at.
Osho was jailed.
Those were not coincidences.
When Krishna said - Whenever Adharam will exceed its limit I will come.
Avatar of truth will come.
Remember that was the meaning of Krishna's statement.
Buddha was an Avatar of truth.
Mahavira was an Avataar of truth.
Osho was an Avatar of truth.
I don't care how many Devadattas are there to prepare elephants to kill me.
I am already gone.
I am Speaking the truth after millions of births, I have come to speak the truth.
Truth is maddening.
Let me give them a ‘run'.
Run Run Run…….
I just have started I am yet not
Done Done Done……"
Are enlightened people allowed to daydream or fantasize?,"What is left there to dream about after enlightenment?
What is left there to fantasize about after enlightenment?
Until and unless one has desires - even desire to be enlightened, one will never be enlightened.
Enlightenment is about emptying everything you know as life and life is a dream too.
On enlightenment, nothingness is reached though there was no destination.
Emptiness is gained but there is no hollowness.
All dreams and fantasies belong to mind.
There is no dream and fantasies left after enlightenment, there is just ‘ISNESS'.
Like the ‘ISNESS' of trees and birds, sun and moon, stars and sky.
That is why he shares love like a flower sharing his fragrance or the Sun shares his warmth without asking anything in return.
Dreams are desires and fantasizing is longing.
‘ISNESS' is, when dreams are not."
Why does Sadhguru say things in a complex way?,"Truth pierces, lies confuse.
Truth is absolute, lie is relative.
He tries to lead you from where you are.
When you succeed then master fails.
When master succeeds you fail.
But when both fail then confusion wins.
Creating confusion is not art it is a state of ignorance.
Ignorance is always insensitive and confusing someone is a sin.
Clarity is the key to soul-realization and confusion is a chaotic mind."
"Why do enlightened beings not use visuals (like process flows, art, etc.) to explain complex ideas to people who are asking spiritually related questions?","Language and symbols have meaning in the conscious mind because we accumulate them during our growing years.
Let's take the national flag as an example.
Does the national flag have any meaning?
We give meaning to it otherwise it is just a piece of cloth.
It is futile to use meanings which are rooted in the mind.
Enlightenment is beyond the mind. Whatsoever the mind can comprehend will always take you to mind only.
This is why mystics and masters have a hard time explaining something beyond the mind.
Truth can't be said. The moment you say the truth it becomes a lie. The very utterance of truth falsifies it.
The Tao that can be told is not the eternal Tao. 
The name that can be named is not the eternal name. 
The nameless is the beginning of heaven and earth. 
The name is the mother of ten thousand things. 
Ever desireless, one can see the mystery. 
Ever desiring, one can see the manifestations. 
These two spring from the same source but differ in name;
 this appears as darkness. 
Darkness within darkness. 
The gate to all mystery.
Laozi, Tao Te Ching
Enlightenment is about ‘ISNESS'. ‘ISNESS' can only be shared, it can not be given or explained in words.
All masters share their ‘ISNESS', Words don't have much meaning without the presence of the master.
Don't go on rambling words from masters.
And upvoting on quora.
Just find the living master."
"Instead of leading people to their ultimate liberation or enlightenment, why is Sadhguru more focused on making people work for his social initiatives and volunteering?","No enlightened master will involve in social initiatives, forget about leading people to work for social initiatives.
Because the biggest social service to humanity is to lead the people to the truth.
Expansion of human consciousness has always been the only concern of the enlightened masters.
After thousands of years, Buddha is born and he would be interested to lead people to the liberation of the soul.
His only purpose is to wake you up.
Have you ever heard? - Buddha’s Chipko movement?
Have you ever heard? - Bodhidharma talking about save Ganga movement?
Have you ever read? Kabir talking about green revolution.
Have you ever heard? Osho talking about women's liberation movement.
Have you ever heard about the ‘Project Elephant' initiative by Ramana Maharishi?
Got my point?

Image Credit: Google
Update: here is list of more enlightened masters and mystics
Atisha, Lao Tzu, Chuang Tzu, Mahakashyap, Nansen and Tilopa."
What happens when someone gets enlightenment?,"When singer becomes song - then there is singing but no singer.
When dancer becomes dance - there is dancing but no dancer.
When painter becomes painting - then there is painting but no painter.
When doer gets totally engrossed into doing then there is no doer there is only ‘doing'. In the absence of ‘doer' you get glimpses of enlightenment.
Rumi said, ""What you seek is seeking you"" and at some point, you will find that the seeker and the sought will become one.
When dewdrop merges into the ocean you become self-realised.
But then you find it is other way around:-
Ocean has merged into the dewdrop then there is no you and there is no way to find the dewdrop again.
Then there is no enlightened one then there is enlightenment only as vast as this cosmos."
Is it true that it's normal to lose your desires and interests after a spiritual awakening? I don't want to lose these things but I want to awaken. I still want to continue doing what I love doing now after awakening,"Don't worry - you will never lose anything.
Until and unless you have desires - even desire/want to be awakened, you will never be awakened.
Awakening is about emptying everything you know as life.
Nothingness is the goal of awakening.
By Deprogramming your conscious and subconscious mind and then you reach emptiness - utter silence.
Emptiness is not negative, you become limitless, boundless."
Is peace in philosophy an illusory and fictitious?,"Philosophy is foolosophy and yet another failed attempt to reach reality. Foolosophy is just another mind game, yet another noise. Philosophers are Foolosophers. They never get awakened.
Philosophy is worse than jokes at least humour brings some kind of relaxation.
Understand - mind is the problem.
By studying foolosophy you are playing with the mind only.
You can't reach silence and peace by playing mind games.
You need something beyond your mind.
What is beyond the mind?
The witness is beyond the mind because the witness is beyond the duality of the mind.
Whenever there is fear - just watch, just witness.
Whenever there is anger - just watch, just witness.
Whenever there is stress or resentment - just watch.
‘Watchfulness’ or ‘witnessing' is all you need to transcend the mind and beyond mind, silence and blissfulness reside."
"If reincarnation, soul, Rebirth, everything is true, Then how does The soul migrate to a new infant? Infact the birth takes place inside a mother by a process we know, Then how does the soul reincarnates?","Reincarnation, rebirth and soul are just words till you realize them, till they become your experience.
Don't vouch for concepts of soul, reincarnation and god.
It is all about swear words till you experience them.
Look at yourself - do you ever want to be born again?
I shall never want to (at least not as a human)- in fact, nobody wants to or given a choice everybody would like to be reborn as Buddha or Bill Gates at the Max, not himself or herself.
Though everybody wants to be immortal.
The reason is we love this life. This life is beautiful in itself.
And
Longing for another life is phoney and It is better to enjoy this very life.
Moreover, enjoy this very moment.
There is nothing beyond, below and above - it is right here and now."
